id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence,is_outlier
1648813,CUSHION,0.8703369478303673,VS2,G,EX,EX,EX,N,3663.0815050039496,5.468222307521944,5.371491091706998,3.6111541438766306,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,0.8004923257737022,VS2,G,EX,EX,EX,N,2760.5176040293404,5.320099871927524,5.248721479562231,3.557525432013377,0,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
1626209,CUSHION,0.8029797219438071,VS2,G,EX,EX,EX,N,3302.2479260258833,5.29532763652236,5.246126361473051,3.5567223058618125,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
201210-1179,CUSHION,0.9618860913355654,VS2,G,EX,EX,EX,N,4385.190017374003,5.537112050703683,5.509017746136905,3.738074700469122,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,0.7980807944571745,VS2,G,EX,EX,EX,N,2818.086811091209,5.22333554625328,5.242118545781751,3.5546607392105845,0,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,1.1181061496549465,VS2,G,EX,EX,EX,N,2846.480216838502,5.889981978155579,5.615412277323348,3.797933834558141,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.1073261633128932,VS2,G,EX,EX,EX,N,2786.977815982427,5.925364783306991,5.614757649313009,3.8151236336242333,1,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.1112669768741177,VS2,G,EX,EX,EX,N,2792.5959356253734,5.92049030587558,5.59510475181315,3.808546014438911,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.1089753624609056,VS2,G,EX,EX,EX,N,2792.4800471267167,5.923293793738482,5.606788884783499,3.813570887432513,1,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.0994294710376273,VS2,G,EX,EX,EX,N,2832.8012177923038,5.8999236365546475,5.598359068204891,3.8067499513963745,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.1315203078454792,VS2,G,EX,EX,EX,N,2817.240278068978,6.364895275812948,5.377168448455008,3.640144990596368,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.1227084906908174,VS2,G,EX,EX,EX,N,2907.5649937452245,6.387995301018425,5.348746222337814,3.638918312730713,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.1202983049675714,VS2,G,EX,EX,EX,N,2779.126588482047,6.347889617141466,5.363202050989229,3.6397956688971354,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.126002275891632,VS2,G,EX,EX,EX,N,2785.448703015576,6.383713069971713,5.37533579721307,3.6424686098872194,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,1.120880104959511,VS2,G,EX,EX,EX,N,2783.7339414238604,6.316578692903728,5.376638364910842,3.6344189546890644,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,3.0,False
1608396,CUSHION,0.9087936201437109,VS2,G,EX,EX,EX,N,2768.3435335933023,5.980210764819641,5.1262156243096735,3.4930813441868755,1,0,0,0,0,0,0,0,5.0,7.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,0.9019920590626923,VS2,G,EX,EX,EX,N,2834.150463253136,5.978439285559491,5.118779857056145,3.4947160985636394,0,0,0,0,0,0,0,0,5.0,7.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,0.8962706303822167,VS2,G,EX,EX,EX,N,2850.6232291512197,6.0130569324615415,5.113585939641102,3.4955044244709548,1,0,0,0,0,0,0,0,5.0,7.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,0.9058719953922005,VS2,G,EX,EX,EX,N,2829.546548000767,5.989408063972326,5.14938703878173,3.476946270903256,1,0,0,0,0,0,0,0,5.0,7.0,0.0,0.0,0.0,0.0,False
1608396,CUSHION,0.901909535560345,VS2,G,EX,EX,EX,N,2781.8095188484363,6.0012057678205775,5.135993856827865,3.4970187279199965,0,0,0,0,0,0,0,0,5.0,7.0,0.0,0.0,0.0,0.0,False
1643510,CUSHION,0.8,SI1,F,EX,EX,VG,N,2818.5904665812045,5.371916404355043,5.146788069559968,3.476459707243315,1,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.7985049582916486,VS2,G,EX,EX,EX,N,2848.407104212146,5.318851701731306,5.1567934546320275,3.4882933495299033,0,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.8024190635465074,VS2,G,EX,EX,EX,N,2798.968063455755,5.341070406541313,5.174036119025034,3.5070345969372707,1,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0,False
1643510,CUSHION,0.8,SI1,F,EX,EX,VG,N,2851.633338978555,5.8044666119816775,4.9792369272218115,3.299236927221811,1,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.8048050877349615,VS2,G,EX,EX,EX,N,2889.3253311036565,5.292167505349604,5.171750891107913,3.489070564901352,0,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.8093159202696387,VS2,G,EX,EX,EX,N,2834.5133857530195,5.455505500243851,5.1834102680820155,3.416952492265632,1,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,4.0,False
1608396,CUSHION,0.8084909344458157,VS2,G,EX,EX,EX,N,2886.192193032219,5.407092156915322,5.188308778173117,3.4181213960595436,1,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,4.0,False
1608396,CUSHION,0.8073801122173964,VS2,G,EX,EX,EX,N,2786.1142118357443,5.453298305312768,5.195903514704202,3.4296951671950926,1,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,4.0,False
1608396,CUSHION,0.8036543036279062,VS2,G,EX,EX,EX,N,2864.5892294966707,5.429844087845728,5.203409772551749,3.4130039202313527,0,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,4.0,False
1608396,CUSHION,0.8144099655832936,VS2,G,EX,EX,EX,N,2823.016429966042,5.474586740001503,5.2018064422189,3.4211430092427286,0,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,4.0,False
1608396,CUSHION,0.9888902460354153,VS2,G,EX,EX,EX,N,2835.0069154574435,5.3405689758804105,5.3394558665459195,3.8464708438737456,0,0,0,0,0,0,0,0,3.0,9.0,2.0,0.0,0.0,0.0,False
1608396,CUSHION,1.000002776304284,VS2,G,EX,EX,EX,N,2815.82349210092,5.33338455367286,5.34653079519577,3.8445197990222666,1,0,0,0,0,0,0,0,3.0,9.0,2.0,0.0,0.0,0.0,False
1608396,CUSHION,1.0022688530609896,VS2,G,EX,EX,EX,N,2767.9966144510454,5.352252289426943,5.3534797246482295,3.8473088012573977,0,0,0,0,0,0,0,0,3.0,9.0,2.0,0.0,0.0,0.0,False
1608396,CUSHION,1.0052873917522793,VS2,G,EX,EX,EX,N,2808.574263198368,5.3779890632676075,5.343434617937889,3.8417415280186917,0,0,0,0,0,0,0,0,3.0,9.0,2.0,0.0,0.0,0.0,False
1608396,CUSHION,1.0094290211282715,VS2,G,EX,EX,EX,N,2832.402328785369,5.391183386368402,5.365770521591569,3.844997436892958,1,0,0,0,0,0,0,0,3.0,9.0,2.0,0.0,0.0,0.0,False
1608396,CUSHION,0.8053342510208449,VS2,G,EX,EX,EX,N,2896.5476887085647,5.278283026594444,5.1741228093384075,3.5045510954719377,1,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.813447842362695,VS2,G,EX,EX,EX,N,2747.8571197597034,5.294620909736186,5.157263982564546,3.5038339761190684,1,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.8141800342490069,VS2,G,EX,EX,EX,N,2882.785272350268,5.246450724385598,5.173808858242393,3.5021917133264635,0,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.8100299963641813,VS2,G,EX,EX,EX,N,2757.4897272799294,5.295667898964915,5.182087889250985,3.501622634788029,0,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0,False
1608396,CUSHION,0.814311334750807,VS2,G,EX,EX,EX,N,2802.164164921646,5.2653447300440455,5.170014256330149,3.4911368503344216,1,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0,False
